City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saint-philippe,90,CA,1538537640,93,45.36,-73.48,53.06,11.41
1,yellowknife,75,CA,1538536500,73,62.45,-114.38,26.6,14.99
2,punta arenas,20,CL,1538535600,80,-53.16,-70.91,39.2,17.22
3,ahipara,92,NZ,1538538861,78,-35.17,173.16,62.45,0.49
4,busselton,48,AU,1538538861,94,-33.64,115.35,63.44,20.51
5,damaturu,0,NG,1538538861,88,11.75,11.96,69.92,3.4
6,sorong,12,ID,1538538861,100,-0.86,131.25,81.89,4.97
7,vanimo,0,PG,1538538861,100,-2.67,141.3,84.05,6.53
8,ushuaia,75,AR,1538535600,100,-54.81,-68.31,33.8,11.41
9,new norfolk,20,AU,1538537400,44,-42.78,147.06,57.2,21.92
10,rikitea,100,PF,1538538862,100,-23.12,-134.97,67.58,19.84
11,hilo,75,US,1538535360,67,19.71,-155.08,82.04,6.93
12,mataura,0,NZ,1538538862,69,-46.19,168.86,54.98,15.82
13,castro,80,CL,1538538862,86,-42.48,-73.76,43.82,4.97
14,hithadhoo,76,MV,1538538862,100,-0.6,73.08,80.36,21.18
15,barrow,0,AR,1538538863,70,-38.31,-60.23,43.91,5.41
16,cockburn town,68,TC,1538538863,99,21.46,-71.14,82.88,7.87
17,fukue,75,JP,1538535600,56,35.03,136.69,73.4,3.36
18,albany,90,US,1538535960,89,42.65,-73.75,66.02,12.75
19,kamina,12,CD,1538538863,79,-8.74,25.0,62.36,2.62
20,thompson,40,CA,1538535600,58,55.74,-97.86,28.4,6.87
21,kununurra,0,AU,1538537400,30,-15.77,128.74,95.0,12.75
22,nikolskoye,90,RU,1538535600,93,59.7,30.79,42.8,4.47
23,cape town,0,ZA,1538535600,54,-33.93,18.42,55.4,23.04
24,kruisfontein,92,ZA,1538538864,83,-34.0,24.73,59.66,11.12
25,kizukuri,40,JP,1538535600,52,40.81,140.39,68.0,12.75
26,abha,0,SA,1538535600,36,18.22,42.5,60.8,1.72
27,samarai,44,PG,1538538864,99,-10.62,150.67,78.02,18.72
28,esperance,20,TT,1538535600,94,10.24,-61.45,77.0,5.19
29,talpa,5,MX,1538534400,74,28.83,-111.63,80.6,4.7
30,lasa,20,CY,1538537400,72,34.92,32.53,69.8,3.36
31,veraval,90,FR,1538537400,93,49.65,0.71,60.8,9.17
32,jamestown,76,AU,1538538865,66,-33.21,138.6,63.89,11.01
33,sovetskiy,80,RU,1538538865,96,56.76,48.47,45.8,12.68
34,port alfred,88,ZA,1538538865,99,-33.59,26.89,59.57,16.49
35,souillac,90,FR,1538537400,82,45.6,-0.6,59.0,2.24
36,ribeira grande,64,PT,1538538866,100,38.52,-28.7,71.72,8.1
37,katsuura,40,JP,1538535600,64,33.93,134.5,73.4,5.82
38,chuy,0,UY,1538538866,93,-33.69,-53.46,46.97,4.18
39,pevek,20,RU,1538538866,91,69.7,170.27,44.0,8.66
40,rongcheng,0,CN,1538538866,57,37.16,122.42,77.39,3.85
41,villa carlos paz,0,AR,1538535600,70,-31.42,-64.5,46.4,6.93
42,bluff,0,AU,1538538866,30,-23.58,149.07,82.34,8.66
43,almaznyy,12,RU,1538538866,91,48.03,40.04,52.55,2.95
44,trancoso,0,PT,1538538644,76,40.78,-7.35,42.11,3.85
45,sao geraldo do araguaia,0,BR,1538538867,90,-6.4,-48.55,74.51,2.95
46,pingliang,0,CN,1538538867,38,35.54,106.68,63.17,5.64
47,kapaa,40,US,1538535360,74,22.08,-159.32,84.02,6.93
48,prince rupert,1,CA,1538535600,77,54.32,-130.32,44.6,5.82
49,hobart,20,AU,1538537400,44,-42.88,147.33,57.2,21.92
50,omboue,64,GA,1538538867,100,-1.57,9.26,78.02,6.2
51,atuona,92,PF,1538538867,100,-9.8,-139.03,78.11,11.34
52,chokurdakh,36,RU,1538538867,98,70.62,147.9,36.08,6.98
53,bethel,90,US,1538535180,86,60.79,-161.76,48.92,11.41
54,hermanus,36,ZA,1538538868,85,-34.42,19.24,49.85,6.42
55,vaini,48,IN,1538538868,98,15.34,74.49,73.52,3.18
56,puerto ayora,8,EC,1538538869,100,-0.74,-90.35,71.0,10.56
57,hokitika,68,NZ,1538538869,95,-42.72,170.96,52.01,6.98
58,ponta do sol,68,BR,1538538869,85,-20.63,-46.0,65.87,2.51
59,omsukchan,88,RU,1538538869,81,62.53,155.8,32.21,4.85
60,longyearbyen,75,NO,1538535000,79,78.22,15.63,28.4,3.36
61,vardo,75,US,1538536500,71,39.62,-77.74,77.0,4.7
62,khani,75,GE,1538535600,93,41.96,42.96,64.4,2.24
63,port macquarie,0,AU,1538535600,50,-31.43,152.91,75.2,12.75
64,mar del plata,24,AR,1538538869,52,-46.43,-67.52,46.61,17.27
65,berlevag,75,NO,1538535000,64,70.86,29.09,39.2,14.99
66,faanui,36,PF,1538538870,100,-16.48,-151.75,77.21,27.56
67,banda aceh,0,ID,1538538870,94,5.56,95.32,81.44,2.73
68,gazojak,0,TM,1538538870,51,41.19,61.4,60.11,7.54
69,pangnirtung,64,CA,1538538870,85,66.15,-65.72,22.94,6.64
70,teguise,0,ES,1538537400,88,29.06,-13.56,69.8,6.93
71,hamilton,90,CA,1538535960,93,43.26,-79.87,53.6,6.93
72,adre,24,TD,1538538870,65,13.47,22.2,73.52,6.87
73,ruidoso,75,US,1538536500,82,33.33,-105.67,76.46,5.82
74,iqaluit,90,CA,1538535600,92,63.75,-68.52,30.2,16.11
75,provideniya,90,RU,1538535600,87,64.42,-173.23,50.0,22.37
76,innisfail,90,CA,1538535600,92,52.02,-113.95,26.6,2.24
77,kukushtan,75,RU,1538535600,66,57.65,56.5,48.2,11.18
78,lompoc,75,US,1538535480,67,34.64,-120.46,68.0,6.93
79,narsaq,80,GL,1538535000,43,60.91,-46.05,35.6,6.93
80,ambon,90,FR,1538537400,87,47.55,-2.56,59.0,3.36
81,dudinka,68,RU,1538538655,90,69.41,86.18,32.84,8.77
82,cherskiy,44,RU,1538538871,69,68.75,161.3,44.36,2.39
83,labuhan,20,ID,1538538871,72,-2.54,115.51,85.31,3.18
84,bredasdorp,80,ZA,1538535600,81,-34.53,20.04,44.6,2.24
